"ORPHA:58", "Alexander disease"
"ORPHA:166032", "Multiple epiphyseal dysplasia, with miniepiphyses"
"ORPHA:61", "Alpha-mannosidosis"
"ORPHA:166029", "Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia"
"ORPHA:166038", "Metaphyseal chondrodysplasia, Kaitila type"
"ORPHA:93", "Aspartylglucosaminuria"
"ORPHA:166035", "Brachydactyly-short stature-retinitis pigmentosa syndrome"
"ORPHA:585", "Multiple sulfatase deficiency"
"ORPHA:118", "Beta-mannosidosis"
"ORPHA:166068", "Pontocerebellar hypoplasia type 5"
"ORPHA:141", "Canavan disease"
"ORPHA:166063", "Pontocerebellar hypoplasia type 4"
"ORPHA:166078", "Von Willebrand disease type 1"
"ORPHA:166073", "Pontocerebellar hypoplasia type 6"
"ORPHA:213", "Cystinosis"
"ORPHA:166084", "Von Willebrand disease type 2A"
"ORPHA:333", "Farber disease"
"ORPHA:3006", "Pyridoxine-dependent epilepsy"
"ORPHA:780", "Rhabdomyosarcoma"
"ORPHA:3111", "Rotor syndrome"
"ORPHA:2382", "Lennox-Gastaut syndrome"
"ORPHA:2806", "Subacute sclerosing leukoencephalitis"
"ORPHA:2467", "Systemic mastocytosis"
"ORPHA:184051", "Non-rare developmental anomalies during embryogenesis"
"ORPHA:184054", "Non-rare genetic disease"
"ORPHA:1934", "Early infantile epileptic encephalopathy"
"ORPHA:845", "Tay-Sachs disease"
"ORPHA:1942", "Myoclonic-astastic epilepsy"
"ORPHA:1935", "Early myoclonic encephalopathy"
"ORPHA:1943", "Early-onset progressive encephalopathy with migrant continuous myoclonus"
"ORPHA:3451", "West syndrome"
"ORPHA:3299", "Tetanus"
"ORPHA:183830", "Non-rare urogenital disease"
"ORPHA:183820", "Non-rare hematologic disease"
"ORPHA:2302", "Asbestos intoxication"
"ORPHA:166024", "Multiple epiphyseal dysplasia, Al-Gazali type"
"ORPHA:166081", "Von Willebrand disease type 2"
"ORPHA:349", "Fucosidosis"
"ORPHA:166090", "Von Willebrand disease type 2M"
"ORPHA:365", "Glycogen storage disease due to acid maltase deficiency"
"ORPHA:166087", "Von Willebrand disease type 2B"
"ORPHA:366", "Glycogen storage disease due to glycogen debranching enzyme deficiency"
"ORPHA:166093", "Von Willebrand disease type 2N"
"ORPHA:368", "Glycogen storage disease due to muscle glycogen phosphorylase deficiency"
"ORPHA:166096", "Von Willebrand disease type 3"
"ORPHA:367", "Glycogen storage disease due to glycogen branching enzyme deficiency"
"ORPHA:166100", "Autosomal dominant otospondylomegaepiphyseal dysplasia"
"ORPHA:371", "Glycogen storage disease due to muscle phosphofructokinase deficiency"
"ORPHA:166105", "FASTKD2-related infantile mitochondrial encephalomyopathy"
"ORPHA:369", "Glycogen storage disease due to liver glycogen phosphorylase deficiency"
"ORPHA:447", "Paroxysmal nocturnal hemoglobinuria"
"ORPHA:166108", "Intellectual disability, Birk-Barel type"
"ORPHA:166113", "Bazex syndrome"
"ORPHA:535", "Rare cutaneous lupus erythematosus"
"ORPHA:166119", "Isolated osteopoikilosis"
"ORPHA:487", "Krabbe disease"
"ORPHA:166260", "Dentinogenesis imperfecta type 2"
"ORPHA:166265", "Dentinogenesis imperfecta type 3"
"ORPHA:583", "Mucopolysaccharidosis type 6"
"ORPHA:166272", "Odontochondrodysplasia"
"ORPHA:576", "Mucolipidosis type II"
"ORPHA:166277", "Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia"
"ORPHA:812", "Sialidosis type 1"
"ORPHA:166282", "Familial sick sinus syndrome"
"ORPHA:578", "Mucolipidosis type IV"
"ORPHA:166286", "Porokeratotic eccrine ostial and dermal duct nevus"
"ORPHA:577", "Mucolipidosis type III"
"ORPHA:166291", "Dirofilariasis"
"ORPHA:166295", "Benign non-familial infantile seizures"
"ORPHA:166308", "Benign infantile focal epilepsy with midline spikes and waves during sleep"
"ORPHA:166305", "Benign infantile seizures associated with mild gastroenteritis"
"ORPHA:2912", "Poliomyelitis"
"ORPHA:166302", "Benign partial epilepsy with secondarily generalized seizures in infancy"
"ORPHA:166299", "Benign partial epilepsy of infancy with complex partial seizures"
"ORPHA:796", "Sandhoff disease"
"ORPHA:166409", "Photosensitive epilepsy"
"ORPHA:801", "Scleroderma"
"ORPHA:166311", "Benign partial infantile seizures"
"ORPHA:461", "Recessive X-linked ichthyosis"
"ORPHA:166421", "Orgasm-induced seizures"
"ORPHA:166418", "Eating reflex epilepsy"
"ORPHA:166415", "Audiogenic seizures"
"ORPHA:584", "Mucopolysaccharidosis type 7"
"ORPHA:166412", "Hot water reflex epilepsy"
"ORPHA:166433", "Reading seizures"
"ORPHA:166430", "Micturation-induced seizures"
"ORPHA:881", "Turner syndrome"
"ORPHA:166427", "Startle epilepsy"
"ORPHA:166424", "Thinking seizures"
"ORPHA:95", "Friedreich ataxia"
"ORPHA:166466", "Neurocutaneous syndrome with epilepsy"
"ORPHA:848", "Beta-thalassemia"
"ORPHA:166469", "Chromosomal anomaly with epilepsy as a major feature"
"ORPHA:846", "Alpha-thalassemia"
"ORPHA:166457", "OBSOLETE: Other forms of non-paraneoplastic limbic encephalitis"
"ORPHA:586", "Cystic fibrosis"
"ORPHA:166463", "Epilepsy syndrome"
"ORPHA:262", "Duchenne and Becker muscular dystrophy"
"ORPHA:166478", "Cerebral malformation with epilepsy"
"ORPHA:166481", "Metabolic diseases with epilepsy"
"ORPHA:166472", "Monogenic disease with epilepsy"
"ORPHA:166475", "Idiopathic or cryptogenic familial epilepsy syndrome with identified loci/genes"
"ORPHA:261", "Emery-Dreifuss muscular dystrophy"
"ORPHA:166490", "Infectious disease with epilepsy"
"ORPHA:166484", "Inflammatory and autoimmune disease with epilepsy"
"ORPHA:166487", "Cerebral diseases of vascular origin with epilepsy"
"ORPHA:550", "MELAS"
"ORPHA:269", "Facioscapulohumeral dystrophy"
"ORPHA:480", "Kearns-Sayre syndrome"
"ORPHA:163898", "Classic paraneoplastic limbic encephalitis"
"ORPHA:593", "Myofibrillar myopathy"
"ORPHA:163895", "Paraneoplastic limbic encephalitis"
"ORPHA:163908", "Limbic encephalitis with LGI1 antibodies"
"ORPHA:163903", "Limbic encephalitis associated with antibodies to cell membrane antigens"
"ORPHA:551", "MERRF"
"ORPHA:597", "Central core disease"
"ORPHA:607", "Nemaline myopathy"
"ORPHA:163892", "Limbic encephalitis"
"ORPHA:163746", "Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease"
"ORPHA:684", "Paramyotonia congenita of Von Eulenburg"
"ORPHA:163931", "Acrodermatitis continua of Hallopeau"
"ORPHA:273", "Steinert myotonic dystrophy"
"ORPHA:163927", "Pustulosis palmaris et plantaris"
"ORPHA:163937", "X-linked intellectual disability, Najm type"
"ORPHA:163934", "Atopic keratoconjunctivitis"
"ORPHA:163918", "Non-paraneoplastic limbic encephalitis"
"ORPHA:163914", "OBSOLETE: Limbic encephalitis with nCMAgs antibodies"
"ORPHA:163924", "Non-herpetic acute limbic encephalitis"
"ORPHA:614", "Thomsen and Becker disease"
"ORPHA:163921", "Posttransplant acute limbic encephalitis"
"ORPHA:163966", "X-linked dominant chondrodysplasia, Chassaing-Lacombe type"
"ORPHA:163971", "X-linked intellectual disability, Cilliers type"
"ORPHA:163976", "X-linked intellectual disability, Van Esch type"
"ORPHA:163979", "X-linked intellectual disability-craniofacioskeletal syndrome"
"ORPHA:163953", "X-linked intellectual disability, Raymond type"
"ORPHA:163956", "X-linked intellectual disability, Nascimento type"
"ORPHA:163961", "X-linked cerebral-cerebellar-coloboma syndrome"
"ORPHA:164004", "Middle ear anomaly"
"ORPHA:164726", "Acute myeloid leukemia and myelodysplastic syndromes related to radiation"
"ORPHA:324", "Fabry disease"
"ORPHA:163982", "X-linked intellectual disability-spastic quadriparesis syndrome"
"ORPHA:163985", "Hyperekplexia-epilepsy syndrome"
"ORPHA:778", "Rett syndrome"
"ORPHA:163988", "OBSOLETE: Developmental delay-deafness syndrome, Hildebrand type"
"ORPHA:164001", "Rare odontal or periodontal disorder"
"ORPHA:72", "Angelman syndrome"
"ORPHA:165661", "Genetic pancreatic disease"
"ORPHA:307", "Juvenile myoclonic epilepsy"
"ORPHA:165658", "Genetic gastro-esophageal disease"
"ORPHA:165655", "Genetic intestinal disease"
"ORPHA:165652", "Rare genetic gastroenterological disease"
"ORPHA:1941", "Juvenile absence epilepsy"
"ORPHA:892", "Von Hippel-Lindau disease"
"ORPHA:164823", "Rare acquired aplastic anemia"
"ORPHA:731", "Autosomal recessive polycystic kidney disease"
"ORPHA:164736", "Familial advanced sleep-phase syndrome"
"ORPHA:138", "CHARGE syndrome"
"ORPHA:558", "Marfan syndrome"
"ORPHA:165805", "Familial mesial temporal lobe epilepsy with febrile seizures"
"ORPHA:803", "Amyotrophic lateral sclerosis"
"ORPHA:165711", "Rare abdominal surgical disease"
"ORPHA:165707", "Syndromic urogenital tract malformation"
"ORPHA:100", "Ataxia-telangiectasia"
"ORPHA:165704", "Non-syndromic urogenital tract malformation"
"ORPHA:733", "Familial adenomatous polyposis"
"ORPHA:165961", "OBSOLETE: Subcutaneous myiasis"
"ORPHA:399", "Huntington disease"
"ORPHA:165955", "Wound myiasis"
"ORPHA:501", "Lafora disease"
"ORPHA:870", "Down syndrome"
"ORPHA:165958", "Cavitary myiasis"
"ORPHA:512", "Metachromatic leukodystrophy"
"ORPHA:166011", "Multiple epiphyseal dysplasia, Beighton type"
"ORPHA:567", "22q11.2 deletion syndrome"
"ORPHA:166016", "Multiple epiphyseal dysplasia, Lowry type"
"ORPHA:232", "Sickle cell anemia"
"ORPHA:165994", "Pituitary resistance to thyroid hormone"
"ORPHA:536", "Systemic lupus erythematosus"
"ORPHA:166002", "Multiple epiphyseal dysplasia due to collagen 9 anomaly"
"ORPHA:534", "Oculocerebrorenal syndrome of Lowe"
"ORPHA:165988", "Diazoxide-resistant diffuse hyperinsulinism"
"ORPHA:790", "Retinoblastoma"
"ORPHA:165991", "Exercise-induced hyperinsulinism"
"ORPHA:652", "Multiple endocrine neoplasia type 1"
"ORPHA:165985", "Diazoxide-sensitive diffuse hyperinsulinism"
"ORPHA:908", "Fragile X syndrome"
"ORPHA:3099", "Rheumatic fever"
"ORPHA:739", "Prader-Willi syndrome"
"ORPHA:47", "X-linked agammaglobulinemia"
"ORPHA:580", "Mucopolysaccharidosis type 2"
"ORPHA:579", "Mucopolysaccharidosis type 1"
"ORPHA:905", "Wilson disease"
"ORPHA:163209", "Non-syndromic cerebral malformation due to abnormal neuronal migration"
"ORPHA:792", "X-linked retinoschisis"
"ORPHA:163528", "OBSOLETE: Acute cutaneous lupus erythematosus"
"ORPHA:383", "X-linked mixed deafness with perilymphatic gusher"
"ORPHA:163525", "Subacute cutaneous lupus erythematosus"
"ORPHA:827", "Stargardt disease"
"ORPHA:163582", "Rare bacterial infectious disease"
"ORPHA:163531", "Chronic cutaneous lupus erythematosus"
"ORPHA:906", "Wiskott-Aldrich syndrome"
"ORPHA:904", "Williams syndrome"
"ORPHA:162521", "OBSOLETE: Congenital nasal pyriform aperture stenosis with holoprosencephaly"
"ORPHA:280", "Wolf-Hirschhorn syndrome"
"ORPHA:162516", "Isolated congenital nasal pyriform aperture stenosis"
"ORPHA:15", "Achondroplasia"
"ORPHA:96", "Ataxia with vitamin E deficiency"
"ORPHA:162526", "Isolated congenital auditory ossicle malformation"
"ORPHA:101", "Dentatorubral pallidoluysian atrophy"
"ORPHA:783", "Rubinstein-Taybi syndrome"
"ORPHA:163649", "Spondyloepiphyseal dysplasia, Nishimura type"
"ORPHA:631", "Non-acquired isolated growth hormone deficiency"
"ORPHA:276", "T-B+ severe combined immunodeficiency due to gamma chain deficiency"
"ORPHA:163654", "Spondyloepiphyseal dysplasia, Cantu type"
"ORPHA:481", "Kennedy disease"
"ORPHA:664", "Ornithine transcarbamylase deficiency"
"ORPHA:163668", "Spondyloepiphyseal dysplasia, MacDermot type"
"ORPHA:163673", "Spondyloepiphyseal dysplasia, Byers type"
"ORPHA:163662", "Spondyloepiphyseal dysplasia, Reardon type"
"ORPHA:394", "Classic homocystinuria"
"ORPHA:163665", "Spondyloepiphyseal dysplasia tarda, Kohn type"
"ORPHA:508", "Leprechaunism"
"ORPHA:163591", "Rare mycosis"
"ORPHA:436", "Hypophosphatasia"
"ORPHA:163596", "Hb Bart's hydrops fetalis"
"ORPHA:163585", "Rare viral disease"
"ORPHA:429", "Hypochondroplasia"
"ORPHA:163588", "Rare parasitic disease"
"ORPHA:437", "Hypophosphatemic rickets"
"ORPHA:163637", "Rare disorder related with pregnancy, childbirth and puerperium"
"ORPHA:104", "Leber hereditary optic neuropathy"
"ORPHA:163631", "Bile acid synthesis defect with cholestasis and malabsorption"
"ORPHA:2182", "Hydrocephalus with stenosis of the aqueduct of Sylvius"
"ORPHA:163634", "Maffucci syndrome"
"ORPHA:163717", "Benign familial mesial temporal lobe epilepsy"
"ORPHA:163708", "Cryptogenic late-onset epileptic spasms"
"ORPHA:636", "Neurofibromatosis type 1"
"ORPHA:163703", "Febrile infection-related epilepsy syndrome"
"ORPHA:649", "Norrie disease"
"ORPHA:163727", "Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome"
"ORPHA:163721", "Rolandic epilepsy-speech dyspraxia syndrome"
"ORPHA:163684", "Leukoencephalopathy-dystonia-motor neuropathy syndrome"
"ORPHA:163681", "Cortical dysplasia-focal epilepsy syndrome"
"ORPHA:379", "Chronic granulomatous disease"
"ORPHA:163678", "OBSOLETE: Unclassified spondylometaphyseal dysplasia"
"ORPHA:16", "Blue cone monochromatism"
"ORPHA:163699", "Alveolar soft tissue sarcoma"
"ORPHA:644", "NARP syndrome"
"ORPHA:637", "Neurofibromatosis type 2"
"ORPHA:163696", "Action myoclonus-renal failure syndrome"
"ORPHA:181", "X-linked hypohidrotic ectodermal dysplasia"
"ORPHA:163693", "2p21 microdeletion syndrome"
"ORPHA:163690", "Hypotonia-cystinuria syndrome"
"ORPHA:337", "Fibrodysplasia ossificans progressiva"
"ORPHA:3444", "Watson syndrome"
"ORPHA:377", "Gorlin syndrome"
"ORPHA:648", "Noonan syndrome"
"ORPHA:281", "Monosomy 5p"
"ORPHA:752", "46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency"
"ORPHA:214", "Cystinuria"
"ORPHA:510", "Lesch-Nyhan syndrome"
"ORPHA:524", "Li-Fraumeni syndrome"
"ORPHA:699", "Pearson syndrome"
"ORPHA:640", "Hereditary neuropathy with liability to pressure palsies"
"ORPHA:60", "Alpha-1-antitrypsin deficiency"
"ORPHA:895", "Waardenburg syndrome type 2"
"ORPHA:896", "Waardenburg syndrome type 3"
"ORPHA:857", "Townes-Brocks syndrome"
"ORPHA:894", "Waardenburg syndrome type 1"
"ORPHA:682", "Hyperkalemic periodic paralysis"
"ORPHA:800", "Schwartz-Jampel syndrome"
"ORPHA:628", "Diastrophic dwarfism"
"ORPHA:673", "Malaria"
"ORPHA:681", "Hypokalemic periodic paralysis"
"ORPHA:126", "Blepharophimosis-ptosis-epicanthus inversus syndrome"
"ORPHA:107", "BOR syndrome"
"ORPHA:774", "Hereditary hemorrhagic telangiectasia"
"ORPHA:794", "Saethre-Chotzen syndrome"
"ORPHA:710", "Pfeiffer syndrome"
"ORPHA:2869", "Peutz-Jeghers syndrome"
"ORPHA:893", "WAGR syndrome"
"ORPHA:912", "Zellweger syndrome"
"ORPHA:50", "Aicardi syndrome"
"ORPHA:53", "Albers-Schönberg osteopetrosis"
"ORPHA:14", "Abetalipoproteinemia"
"ORPHA:52", "Alagille syndrome"
"ORPHA:167", "Chédiak-Higashi syndrome"
"ORPHA:195", "Cat-eye syndrome"
"ORPHA:207", "Crouzon disease"
"ORPHA:205", "Crigler-Najjar syndrome"
"ORPHA:160148", "Cap polyposis"
"ORPHA:201", "Cowden syndrome"
"ORPHA:192", "Coffin-Lowry syndrome"
"ORPHA:2442", "X-linked lymphoproliferative disease"
"ORPHA:169808", "Mild hemophilia A"
"ORPHA:169826", "Congenital vitamin K-dependent coagulation factors deficiency"
"ORPHA:169802", "Severe hemophilia A"
"ORPHA:169805", "Moderately severe hemophilia A"
"ORPHA:562", "McCune-Albright syndrome"
"ORPHA:565", "Menkes disease"
"ORPHA:2443", "Mitochondrial oxidative phosphorylation disorder due to nuclear DNA anomalies"
"ORPHA:474", "Jeune syndrome"
"ORPHA:540", "Familial hemophagocytic lymphohistiocytosis"
"ORPHA:568", "Microphthalmia, Lenz type"
"ORPHA:564", "Meckel syndrome"
"ORPHA:289", "Ellis Van Creveld syndrome"
"ORPHA:258", "Laminin subunit alpha 2-related congenital muscular dystrophy"
"ORPHA:1247", "Schistosomiasis"
"ORPHA:112", "Bartter syndrome"
"ORPHA:169446", "OBSOLETE: Autosomal recessive hyper-IgE syndrome"
"ORPHA:169443", "Specific antibody deficiency with normal immunoglobulin concentrations and normal numbers of B cells"
"ORPHA:1646", "Partial chromosome Y deletion"
"ORPHA:169464", "Primary CD59 deficiency"
"ORPHA:99", "Autosomal dominant cerebellar ataxia"
"ORPHA:116", "Beckwith-Wiedemann syndrome"
"ORPHA:87", "Apert syndrome"
"ORPHA:169618", "Secondary central precocious puberty"
"ORPHA:169615", "Idiopathic central precocious puberty"
"ORPHA:97", "Familial paroxysmal ataxia"
"ORPHA:169467", "Recurrent Neisseria infections due to factor D deficiency"
"ORPHA:313", "Lamellar ichthyosis"
"ORPHA:169799", "Mild hemophilia B"
"ORPHA:169796", "Moderately severe hemophilia B"
"ORPHA:169793", "Severe hemophilia B"
"ORPHA:171220", "Rectal duplication"
"ORPHA:1000", "Ocular albinism with late-onset sensorineural deafness"
"ORPHA:999", "Ermine phenotype"
"ORPHA:171430", "Severe congenital nemaline myopathy"
"ORPHA:171433", "Intermediate nemaline myopathy"
"ORPHA:171436", "Typical nemaline myopathy"
"ORPHA:171439", "Childhood-onset nemaline myopathy"
"ORPHA:55", "Oculocutaneous albinism"
"ORPHA:171442", "Adult-onset nemaline myopathy"
"ORPHA:171445", "Muscle filaminopathy"
"ORPHA:171607", "X-linked spastic paraplegia type 34"
"ORPHA:2771", "Bruck syndrome"
"ORPHA:171612", "Autosomal dominant spastic paraplegia type 37"
"ORPHA:171617", "Autosomal dominant spastic paraplegia type 38"
"ORPHA:1349", "Mitochondrial DNA-related cardiomyopathy and hearing loss"
"ORPHA:171622", "Autosomal recessive spastic paraplegia type 32"
"ORPHA:171629", "Autosomal recessive spastic paraplegia type 35"
"ORPHA:861", "Treacher-Collins syndrome"
"ORPHA:308", "Unverricht-Lundborg disease"
"ORPHA:1991", "Cleft lip with or without cleft palate"
"ORPHA:199", "Cornelia de Lange syndrome"
"ORPHA:171201", "High isolated anorectal malformation"
"ORPHA:2162", "Holoprosencephaly"
"ORPHA:930", "Idiopathic achalasia"
"ORPHA:171215", "Low isolated anorectal malformation"
"ORPHA:998", "Albinism-deafness syndrome"
"ORPHA:171208", "Intermediate isolated anorectal malformation"
"ORPHA:1727", "22q11.2 microduplication syndrome"
"ORPHA:169079", "Cernunnos-XLF deficiency"
"ORPHA:1716", "Distal trisomy 18q"
"ORPHA:1715", "Trisomy 18p"
"ORPHA:3380", "Trisomy 18"
"ORPHA:168984", "CLAPO syndrome"
"ORPHA:1707", "Distal trisomy 15q"
"ORPHA:168999", "Malignant melanoma of the mucosa"
"ORPHA:3378", "Trisomy 13"
"ORPHA:168972", "Kahrizi syndrome"
"ORPHA:169110", "Immunoglobulin heavy chain deficiency"
"ORPHA:169100", "Immunodeficiency due to CD25 deficiency"
"ORPHA:169105", "Good syndrome"
"ORPHA:169090", "Combined immunodeficiency due to CRAC channel dysfunction"
"ORPHA:236", "Trisomy 9p"
"ORPHA:169095", "Severe combined immunodeficiency due to FOXN1 deficiency"
"ORPHA:169082", "Combined immunodeficiency due to CD3gamma deficiency"
"ORPHA:169085", "Susceptibility to respiratory infections associated with CD8alpha chain mutation"
"ORPHA:168829", "Primary peritoneal carcinoma"
"ORPHA:168816", "Peritoneal cystic mesothelioma"
"ORPHA:753", "46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency"
"ORPHA:868", "Triose phosphate-isomerase deficiency"
"ORPHA:168811", "Malignant peritoneal mesothelioma"
"ORPHA:168807", "Primary malignant peritoneal tumor"
"ORPHA:168803", "Primary peritoneal tumor"
"ORPHA:218", "Darier disease"
"ORPHA:168796", "Heart-hand syndrome, Slovenian type"
"ORPHA:1465", "Coffin-Siris syndrome"
"ORPHA:168782", "Childhood disintegrative disorder"
"ORPHA:1642", "Distal monosomy 9p"
"ORPHA:168966", "Composite lymphoma"
"ORPHA:168960", "Refractory anemia with excess blasts in transformation"
"ORPHA:8", "47,XYY syndrome"
"ORPHA:1636", "Distal monosomy 7q36"
"ORPHA:168956", "Hypereosinophilic syndrome"
"ORPHA:168953", "Myeloid/lymphoid neoplasm associated with FGFR1 rearrangement"
"ORPHA:1600", "Monosomy 18q"
"ORPHA:168950", "Myeloid/lymphoid neoplasm associated with PDGFRB rearrangement"
"ORPHA:168947", "Myeloid/lymphoid neoplasm associated with PDGFRA rearrangement"
"ORPHA:1598", "Monosomy 18p"
"ORPHA:168943", "Myeloid/lymphoid neoplasms associated with eosinophilia and abnormality of PDGFRA, PDGFRB or FGFR1"
"ORPHA:168940", "Chronic eosinophilic leukemia"
"ORPHA:2773", "Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome"
"ORPHA:2772", "Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome"
"ORPHA:2609", "Isolated complex I deficiency"
"ORPHA:169361", "Immune dysregulation disease with immunodeficiency"
"ORPHA:626", "Large congenital melanocytic nevus"
"ORPHA:773", "Refsum disease"
"ORPHA:11", "Pentasomy X"
"ORPHA:169154", "T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency"
"ORPHA:370", "Glycogen storage disease due to phosphorylase kinase deficiency"
"ORPHA:169150", "Immunodeficiency due to a late component of complement deficiency"
"ORPHA:169160", "T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta"
"ORPHA:385", "Neurodegeneration with brain iron accumulation"
"ORPHA:169157", "T-B+ severe combined immunodeficiency due to CD45 deficiency"
"ORPHA:169139", "Transient hypogammaglobulinemia of infancy"
"ORPHA:1947", "Progressive epilepsy-intellectual disability syndrome, Finnish type"
"ORPHA:169147", "Immunodeficiency due to a classical component pathway complement deficiency"
"ORPHA:169142", "Recurrent infection due to specific granule deficiency"
"ORPHA:352", "Galactosemia"
"ORPHA:596", "X-linked centronuclear myopathy"
"ORPHA:169349", "Immuno-osseous dysplasia"
"ORPHA:169346", "DNA repair defect other than combined T-cell and B-cell immunodeficiencies"
"ORPHA:169355", "Immunodeficiency syndrome with autoimmunity"
"ORPHA:610", "Bethlem myopathy"
"ORPHA:169186", "Autosomal recessive centronuclear myopathy"
"ORPHA:464", "Incontinentia pigmenti"
"ORPHA:3307", "Tetrasomy 18p"
"ORPHA:169163", "Familial scaphocephaly syndrome"
"ORPHA:169189", "Autosomal dominant centronuclear myopathy"
"ORPHA:3084", "Mirhosseini-Holmes-Walton syndrome"
"ORPHA:44", "Neonatal adrenoleukodystrophy"
"ORPHA:56", "Alkaptonuria"
"ORPHA:963", "Acromegaly"
"ORPHA:1059", "Blue rubber bleb nevus"
"ORPHA:1006", "Alopecia antibody deficiency"
"ORPHA:1046", "Lethal hemolytic anemia-genital anomalies syndrome"
"ORPHA:22", "Succinic semialdehyde dehydrogenase deficiency"
"ORPHA:29", "Mevalonic aciduria"
"ORPHA:245", "Nager syndrome"
"ORPHA:30", "Hereditary orotic aciduria"
"ORPHA:36", "Acrocallosal syndrome"
"ORPHA:915", "Aarskog-Scott syndrome"
"ORPHA:2614", "Nail-patella syndrome"
"ORPHA:33", "Isovaleric acidemia"
"ORPHA:168194", "Rare cardiac tumor"
"ORPHA:819", "Smith-Magenis syndrome"
"ORPHA:3085", "Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome"
"ORPHA:9", "Tetrasomy X"
"ORPHA:168615", "Hereditary persistence of alpha-fetoprotein"
"ORPHA:168612", "Congenital deficiency in alpha-fetoprotein"
"ORPHA:1442", "Ring chromosome 18 syndrome"
"ORPHA:168621", "Dysplasia of head of femur, Meyer type"
"ORPHA:1452", "Cleidocranial dysplasia"
"ORPHA:1455", "Autosomal dominant coarctation of aorta"
"ORPHA:168629", "Autosomal thrombocytopenia with normal platelets"
"ORPHA:168624", "Familial scaphocephaly syndrome, McGillivray type"
"ORPHA:193", "Cohen syndrome"
"ORPHA:168778", "Rare pervasive developmental disorder"
"ORPHA:1488", "Cooper-Jabs syndrome"
"ORPHA:200", "Isolated corpus callosum agenesis"
"ORPHA:168632", "Generalized basaloid follicular hamartoma syndrome"
"ORPHA:1334", "Chronic mucocutaneous candidiasis"
"ORPHA:168583", "Hereditary North American Indian childhood cirrhosis"
"ORPHA:1369", "Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome"
"ORPHA:168577", "Hereditary cryohydrocytosis with reduced stomatin"
"ORPHA:168593", "Sudden infant death-dysgenesis of the testes syndrome"
"ORPHA:1406", "Charlie M syndrome"
"ORPHA:168588", "Hyperandrogenism due to cortisone reductase deficiency"
"ORPHA:168601", "Congenital enteropathy due to enteropeptidase deficiency"
"ORPHA:1414", "Cholestasis-lymphedema syndrome"
"ORPHA:168598", "Brain demyelination due to methionine adenosyltransferase deficiency"
"ORPHA:1417", "OBSOLETE: Platyspondylic lethal chondrodysplasia"
"ORPHA:168609", "Mitochondrial non-syndromic sensorineural deafness with susceptibility to aminoglycoside exposure"
"ORPHA:168606", "Seborrhea-like dermatitis with psoriasiform elements"
"ORPHA:1155", "OBSOLETE: Arthrogryposis due to muscular dystrophy"
"ORPHA:168549", "Axial spondylometaphyseal dysplasia"
"ORPHA:168552", "Spondylometaphyseal dysplasia-bowed forearms-facial dysmorphism syndrome"
"ORPHA:1154", "Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome"
"ORPHA:168555", "Spondylometaphyseal dysplasia, A4 type"
"ORPHA:168558", "46,XY disorder of sex development-adrenal insufficiency due to CYP11A1 deficiency"
"ORPHA:168563", "46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome"
"ORPHA:124", "Blackfan-Diamond anemia"
"ORPHA:168566", "Fatal mitochondrial disease due to combined oxidative phosphorylation defect type 3"
"ORPHA:1310", "Caffey disease"
"ORPHA:168569", "H syndrome"
"ORPHA:168572", "Native American myopathy"
"ORPHA:125", "Bloom syndrome"
"ORPHA:90", "Argininemia"
"ORPHA:168443", "Spondyloepimetaphyseal dysplasia-hypotrichosis syndrome"
"ORPHA:1065", "Aniridia-cerebellar ataxia-intellectual disability syndrome"
"ORPHA:168448", "Spondyloepimetaphyseal dysplasia, Bieganski type"
"ORPHA:168451", "Spondyloepimetaphyseal dysplasia-abnormal dentition syndrome"
"ORPHA:1135", "Arrhinia-choanal atresia-microphthalmia syndrome"
"ORPHA:168454", "Spondyloepimetaphyseal dysplasia, Geneviève type"
"ORPHA:1146", "Digitotalar dysmorphism"
"ORPHA:1143", "Neurogenic arthrogryposis multiplex congenita"
"ORPHA:168486", "Congenital neuronal ceroid lipofuscinosis"
"ORPHA:168491", "Late infantile neuronal ceroid lipofuscinosis"
"ORPHA:168544", "Spondylometaphyseal dysplasia, Golden type"
"ORPHA:1147", "Sheldon-Hall syndrome"
"ORPHA:246", "Postaxial acrofacial dysostosis"
"ORPHA:1819", "OBSOLETE: Epimetaphyseal skeletal dysplasia"
"ORPHA:1770", "XY type gonadal dysgenesis-associated anomalies syndrome"
"ORPHA:1775", "Dyskeratosis congenita"
"ORPHA:1764", "Familial dysautonomia"
